,latitude,longitude,elevation
459,49.962285,-115.14255,1383.0
460,49.959707,-115.141815,1407.0
461,49.954968,-115.144127,1406.0
462,49.942431,-115.147684,1358.0
463,49.939452,-115.144894,1386.0
464,49.929877,-115.146922,1349.0
465,49.910666,-115.14373,1357.0
466,49.90791,-115.144047,1310.0
467,49.905795,-115.142791,1299.0
468,49.898176,-115.142298,1294.0
469,49.890715,-115.138591,1308.0
470,49.888289,-115.138242,1308.0
471,49.8827,-115.140265,1335.0
472,49.879057,-115.142684,1297.0
473,49.870507,-115.142888,1323.0
474,49.869024,-115.144025,1300.0
475,49.86743,-115.143923,1317.0
476,49.864664,-115.145549,1288.0
477,49.863371,-115.145651,1266.0
478,49.861002,-115.143875,1253.0
479,49.858567,-115.143204,1269.0
480,49.857703,-115.141922,1274.0
481,49.851941,-115.139401,1309.0
482,49.84551,-115.142258,1303.0
483,49.841747,-115.146874,1283.0
484,49.832422,-115.150167,1229.0
485,49.831,-115.149819,1237.0
486,49.828637,-115.147673,1231.0
487,49.827709,-115.14535,1229.0
488,49.823854,-115.141912,1203.0
489,49.8213,-115.141091,1193.0
490,49.816489,-115.14071,1244.0
491,49.810276,-115.143119,1208.0
492,49.807298,-115.143623,1230.0
493,49.80377,-115.147126,1207.0
494,49.802406,-115.147185,1216.0
495,49.797822,-115.14932,1203.0
496,49.795651,-115.152866,1221.0
497,49.792572,-115.154502,1242.0
498,49.786217,-115.159823,1227.0
499,49.783519,-115.160998,1195.0
500,49.780128,-115.161175,1186.0
501,49.778573,-115.160387,1181.0
502,49.776692,-115.160982,1187.0
503,49.775534,-115.166089,1190.0
504,49.77461,-115.16809,1181.0
505,49.773965,-115.168396,1174.0
506,49.768564,-115.163965,1189.0
507,49.764593,-115.161808,1168.0
508,49.760875,-115.15779,1170.0
509,49.754027,-115.157608,1152.0
510,49.749885,-115.155553,1160.0
511,49.746963,-115.156009,1163.0
512,49.742783,-115.155113,1144.0
513,49.736241,-115.157216,1153.0
514,49.72896,-115.156712,1124.0
515,49.726869,-115.156031,1105.0
516,49.724663,-115.154175,1113.0
517,49.723761,-115.15572,1110.0
518,49.716853,-115.154952,1103.0
519,49.714296,-115.155484,1103.0
520,49.710411,-115.15735,1097.0
521,49.708302,-115.157731,1111.0
522,49.703248,-115.161502,1098.0
523,49.697117,-115.164222,1114.0
524,49.691932,-115.168337,1116.0
525,49.688337,-115.169844,1106.0
526,49.687025,-115.167307,1096.0
527,49.68681,-115.165708,1093.0
528,49.684992,-115.163412,1092.0
529,49.682281,-115.15469,1099.0
530,49.681625,-115.154089,1107.0
531,49.680885,-115.150709,1111.0
532,49.681208,-115.149078,1112.0
533,49.680323,-115.14667,1113.0
534,49.680531,-115.145677,1112.0
535,49.678515,-115.138055,1126.0
536,49.677244,-115.136257,1139.0
537,49.677491,-115.134734,1145.0
538,49.677175,-115.133001,1137.0
539,49.675821,-115.131338,1182.0
540,49.676178,-115.128822,1165.0
541,49.675634,-115.128163,1187.0
542,49.675637,-115.127245,1168.0
543,49.673367,-115.12312,1162.0
544,49.670825,-115.12039,1212.0
545,49.669666,-115.118034,1186.0
